id,ticker,name,legacy_sector,industry_category,industry_group
com_NX6GzO,AAPL,Apple Inc.,Unknown,Unknown,Unknown
com_2zvNzA,XOM,EXXON MOBIL CORP,Unknown,Unknown,Unknown
com_0XLDXx,ORCL,ORACLE CORP,Unknown,Unknown,Unknown
com_VXWJgv,KO,COCA COLA CO,Unknown,Unknown,Unknown
com_NgYGzd,INTC,INTEL CORP,Unknown,Unknown,Unknown
com_NgPvzd,WMT,Walmart Inc.,Unknown,Unknown,Unknown
com_qzEByJ,MSFT,MICROSOFT CORP,Unknown,Unknown,Unknown
com_dXOKXo,IBM,INTERNATIONAL BUSINESS MACHINES CORP,Unknown,Unknown,Unknown
com_DzonXe,CVX,CHEVRON CORP,Unknown,Unknown,Unknown
com_nzJNzB,JNJ,JOHNSON & JOHNSON,Unknown,Unknown,Unknown
com_bzqpXx,DIS,Walt Disney Co,Unknown,Unknown,Unknown
com_AXGAyM,PEP,PEPSICO INC,Unknown,Unknown,Unknown
com_PypZX3,PG,PROCTER & GAMBLE Co,Unknown,Unknown,Unknown
com_xgxWyr,PFE,PFIZER INC,Unknown,Unknown,Unknown
com_BgkOge,UPS,UNITED PARCEL SERVICE INC,Unknown,Unknown,Unknown
com_agjrgj,VZ,VERIZON COMMUNICATIONS INC,Unknown,Unknown,Unknown
com_wy3Dg8,BA,BOEING CO,Unknown,Unknown,Unknown
com_jyRlXM,META,"Meta Platforms, Inc.",Unknown,Unknown,Unknown
com_0gNqyJ,T,AT&T INC.,Unknown,Unknown,Unknown
com_5ydJXK,AMGN,AMGEN INC,Unknown,Unknown,Unknown
com_ByKvzb,MRK,"Merck & Co., Inc.",Unknown,Unknown,Unknown
com_mgwYzQ,AMZN,AMAZON COM INC,Unknown,Unknown,Unknown
com_Qz8bgb,SLB,SCHLUMBERGER LIMITED/NV,Unknown,Unknown,Unknown
com_bXZPyM,GILD,"GILEAD SCIENCES, INC.",Unknown,Unknown,Unknown
com_9Xa6zB,CMCSA,COMCAST CORP,Unknown,Unknown,Unknown
com_RzmAze,PM,Philip Morris International Inc.,Unknown,Unknown,Unknown
com_2gB0zb,CSCO,"CISCO SYSTEMS, INC.",Unknown,Unknown,Unknown
