Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.1040,Gold & Silver Ores,1040,United States,10,광업,Gold & Silver Ores
$SIC.1000,METAL MINING,1000,United States,10,광업,METAL MINING
$SIC.1400,"NONMETALLIC MINERALS, EXCEPT FUELS",1400,United States,14,광업,"NONMETALLIC MINERALS, EXCEPT FUELS"
$SIC.1389,"Oil & Gas Field Services, nec",1389,United States,13,광업,"Oil & Gas Field Services, nec"
$SIC.1380,Oil & Gas Field Services,1380,United States,13,광업,Oil & Gas Field Services
$SIC.1300,OIL & GAS EXTRACTION,1300,United States,13,광업,OIL & GAS EXTRACTION
$SIC.1221,Bituminous Coal & Lignite - Surface,1221,United States,12,광업,Bituminous Coal & Lignite - Surface
$SIC.1220,Bituminous Coal & Lignite Mining,1220,United States,12,광업,Bituminous Coal & Lignite Mining
$SIC.1200,COAL MINING,1200,United States,12,광업,COAL MINING
$SIC.1090,Miscellaneous Metal Ores,1090,United States,10,광업,Miscellaneous Metal Ores
$SIC.1311,Crude Petroleum & Natural Gas,1311,United States,13,광업,Crude Petroleum & Natural Gas
$SIC.1310,Crude Petroleum & Natural Gas,1310,United States,13,광업,Crude Petroleum & Natural Gas
$SIC.1381,Drilling Oil & Gas Wells,1381,United States,13,광업,Drilling Oil & Gas Wells
$SIC.1382,Oil & Gas Exploration Services,1382,United States,13,광업,Oil & Gas Exploration Services
