Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.6552,"Subdividers & Developers, nec",6552,United States,65,"금융, 보험 및 부동산","Subdividers & Developers, nec"
$SIC.6550,Subdividers & Developers,6550,United States,65,"금융, 보험 및 부동산",Subdividers & Developers
$SIC.6500,REAL ESTATE,6500,United States,65,"금융, 보험 및 부동산",REAL ESTATE
$SIC.6311,Life Insurance,6311,United States,63,"금융, 보험 및 부동산",Life Insurance
$SIC.6310,Life Insurance,6310,United States,63,"금융, 보험 및 부동산",Life Insurance
$SIC.6300,INSURANCE CARRIERS,6300,United States,63,"금융, 보험 및 부동산",INSURANCE CARRIERS
$SIC.6510,Real Estate Operators & Lessors,6510,United States,65,"금융, 보험 및 부동산",Real Estate Operators & Lessors
$SIC.6159,Misc. Business Credit Institutions,6159,United States,61,"금융, 보험 및 부동산",Misc. Business Credit Institutions
$SIC.6150,Business Credit Institutions,6150,United States,61,"금융, 보험 및 부동산",Business Credit Institutions
$SIC.6100,NONDEPOSITORY INSTITUTIONS,6100,United States,61,"금융, 보험 및 부동산",NONDEPOSITORY INSTITUTIONS
$SIC.6792,Oil Royalty Traders,6792,United States,67,"금융, 보험 및 부동산",Oil Royalty Traders
$SIC.6790,Miscellaneous Investing,6790,United States,67,"금융, 보험 및 부동산",Miscellaneous Investing
$SIC.6700,HOLDING & OTHER INVESTMENT OFFICES,6700,United States,67,"금융, 보험 및 부동산",HOLDING & OTHER INVESTMENT OFFICES
$SIC.6519,"Real Property Lessors, nec",6519,United States,65,"금융, 보험 및 부동산","Real Property Lessors, nec"
$SIC.6331,"Fire, Marine & Casualty Insurance",6331,United States,63,"금융, 보험 및 부동산","Fire, Marine & Casualty Insurance"
$SIC.6330,"Fire, Marine & Casualty Insurance",6330,United States,63,"금융, 보험 및 부동산","Fire, Marine & Casualty Insurance"
$SIC.6513,Apartment Building Operators,6513,United States,65,"금융, 보험 및 부동산",Apartment Building Operators
$SIC.6324,Hospital & Medical Service Plans,6324,United States,63,"금융, 보험 및 부동산",Hospital & Medical Service Plans
$SIC.6320,Medical Service & Health Insurance,6320,United States,63,"금융, 보험 및 부동산",Medical Service & Health Insurance
$SIC.6798,Real Estate Investment Trusts,6798,United States,67,"금융, 보험 및 부동산",Real Estate Investment Trusts
$SIC.6199,Financial Services,6199,United States,61,"금융, 보험 및 부동산",Financial Services
$SIC.6190,Financial Services,6190,United States,61,"금융, 보험 및 부동산",Financial Services
$SIC.6221,"Commodity Contracts Brokers, Dealers",6221,United States,62,"금융, 보험 및 부동산","Commodity Contracts Brokers, Dealers"
$SIC.6220,"Commodity Contracts Brokers, Dealers",6220,United States,62,"금융, 보험 및 부동산","Commodity Contracts Brokers, Dealers"
$SIC.6200,SECURITY & COMMODITY BROKERS,6200,United States,62,"금융, 보험 및 부동산",SECURITY & COMMODITY BROKERS
$SIC.6512,Nonresidential Building Operators,6512,United States,65,"금융, 보험 및 부동산",Nonresidential Building Operators
$SIC.6036,"Savings Institutions, Except Federal",6036,United States,60,"금융, 보험 및 부동산","Savings Institutions, Except Federal"
$SIC.6030,Savings Institutions,6030,United States,60,"금융, 보험 및 부동산",Savings Institutions
$SIC.6000,DEPOSITORY INSTITUTIONS,6000,United States,60,"금융, 보험 및 부동산",DEPOSITORY INSTITUTIONS
$SIC.6794,Patent Owners & Lessors,6794,United States,67,"금융, 보험 및 부동산",Patent Owners & Lessors
$SIC.6022,State Commercial Banks,6022,United States,60,"금융, 보험 및 부동산",State Commercial Banks
$SIC.6020,Commercial Banks,6020,United States,60,"금융, 보험 및 부동산",Commercial Banks
$SIC.6035,Federal Savings Institutions,6035,United States,60,"금융, 보험 및 부동산",Federal Savings Institutions
$SIC.6399,"Insurance Carriers, nec",6399,United States,63,"금융, 보험 및 부동산","Insurance Carriers, nec"
$SIC.6390,"Insurance Carriers, nec",6390,United States,63,"금융, 보험 및 부동산","Insurance Carriers, nec"
$SIC.6163,Loan Brokers,6163,United States,61,"금융, 보험 및 부동산",Loan Brokers
$SIC.6160,Mortgage Bankers & Brokers,6160,United States,61,"금융, 보험 및 부동산",Mortgage Bankers & Brokers
$SIC.6211,Security Brokers & Dealers,6211,United States,62,"금융, 보험 및 부동산",Security Brokers & Dealers
$SIC.6210,Security Brokers & Dealers,6210,United States,62,"금융, 보험 및 부동산",Security Brokers & Dealers
$SIC.6162,Mortgage Bankers & Correspondents,6162,United States,61,"금융, 보험 및 부동산",Mortgage Bankers & Correspondents
$SIC.6189,Asset Backed Securities,6189,United States,61,"금융, 보험 및 부동산",Asset Backed Securities
$SIC.6180,Asset Backed Securities,6180,United States,61,"금융, 보험 및 부동산",Asset Backed Securities
$SIC.6021,National Commercial Banks,6021,United States,60,"금융, 보험 및 부동산",National Commercial Banks
$SIC.6531,Real Estate Agents & Managers,6531,United States,65,"금융, 보험 및 부동산",Real Estate Agents & Managers
$SIC.6530,Real Estate Agents & Managers,6530,United States,65,"금융, 보험 및 부동산",Real Estate Agents & Managers
$SIC.6795,Mineral Royalty Traders,6795,United States,67,"금융, 보험 및 부동산",Mineral Royalty Traders
$SIC.6141,Personal Credit Unions,6141,United States,61,"금융, 보험 및 부동산",Personal Credit Unions
$SIC.6140,Personal Credit Unions,6140,United States,61,"금융, 보험 및 부동산",Personal Credit Unions
$SIC.6361,Title Insurance,6361,United States,63,"금융, 보험 및 부동산",Title Insurance
$SIC.6360,Title Insurance,6360,United States,63,"금융, 보험 및 부동산",Title Insurance
$SIC.6770,Blank Checks,6770,United States,67,"금융, 보험 및 부동산",Blank Checks
$SIC.6411,"Insurance Agents, Brokers & Service",6411,United States,64,"금융, 보험 및 부동산","Insurance Agents, Brokers & Service"
$SIC.6410,"Insurance Agents, Brokers & Service",6410,United States,64,"금융, 보험 및 부동산","Insurance Agents, Brokers & Service"
$SIC.6400,"INSURANCE AGENTS, BROKERS & SERVICE",6400,United States,64,"금융, 보험 및 부동산","INSURANCE AGENTS, BROKERS & SERVICE"
$SIC.6351,Surety Insurance,6351,United States,63,"금융, 보험 및 부동산",Surety Insurance
$SIC.6350,Surety Insurance,6350,United States,63,"금융, 보험 및 부동산",Surety Insurance
$SIC.6321,Accident & Health Insurance,6321,United States,63,"금융, 보험 및 부동산",Accident & Health Insurance
$SIC.6799,"Investors, nec",6799,United States,67,"금융, 보험 및 부동산","Investors, nec"
$SIC.6153,Short Term Business Credit,6153,United States,61,"금융, 보험 및 부동산",Short Term Business Credit
$SIC.6099,Functions Related to Deposit Banking,6099,United States,60,"금융, 보험 및 부동산",Functions Related to Deposit Banking
$SIC.6090,Functions Closely Related to Banking,6090,United States,60,"금융, 보험 및 부동산",Functions Closely Related to Banking
$SIC.6111,Federal & Federally Sponsored Credit Agencies,6111,United States,61,"금융, 보험 및 부동산",Federal & Federally Sponsored Credit Agencies
$SIC.6110,Federal & Federally Sponsored Credit Agencies,6110,United States,61,"금융, 보험 및 부동산",Federal & Federally Sponsored Credit Agencies
$SIC.6172,Finance Lessors,6172,United States,61,"금융, 보험 및 부동산",Finance Lessors
$SIC.6170,Finance Lessors,6170,United States,61,"금융, 보험 및 부동산",Finance Lessors
$SIC.6282,Investment Advice,6282,United States,62,"금융, 보험 및 부동산",Investment Advice
$SIC.6280,Security & Commodity Services,6280,United States,62,"금융, 보험 및 부동산",Security & Commodity Services
$SIC.6029,"Commercial Banks, nec",6029,United States,60,"금융, 보험 및 부동산","Commercial Banks, nec"
