Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.5090,Miscellaneous Durable Goods,5090,United States,50,도매업,Miscellaneous Durable Goods
$SIC.5000,WHOLESALE TRADE - DURABLE GOODS,5000,United States,50,도매업,WHOLESALE TRADE - DURABLE GOODS
$SIC.5031,"Lumber, Plywood & Millwork",5031,United States,50,도매업,"Lumber, Plywood & Millwork"
$SIC.5030,Lumber & Construction Materials,5030,United States,50,도매업,Lumber & Construction Materials
$SIC.5190,Miscellaneous Nondurable Goods,5190,United States,51,도매업,Miscellaneous Nondurable Goods
$SIC.5100,WHOLESALE TRADE - NONDURABLE GOODS,5100,United States,51,도매업,WHOLESALE TRADE - NONDURABLE GOODS
$SIC.5084,Industrial Machinery & Equipment,5084,United States,50,도매업,Industrial Machinery & Equipment
$SIC.5080,Machinery Equipment & Supplies,5080,United States,50,도매업,Machinery Equipment & Supplies
$SIC.5063,Electrical Apparatus & Equipment,5063,United States,50,도매업,Electrical Apparatus & Equipment
$SIC.5060,Electrical Goods,5060,United States,50,도매업,Electrical Goods
$SIC.5094,Jewelry & Precious Stones,5094,United States,50,도매업,Jewelry & Precious Stones
$SIC.5150,Farm-Product Raw Materials,5150,United States,51,도매업,Farm-Product Raw Materials
$SIC.5130,"Apparel, Piece Goods & Notations",5130,United States,51,도매업,"Apparel, Piece Goods & Notations"
$SIC.5140,Groceries & Related Products,5140,United States,51,도매업,Groceries & Related Products
$SIC.5051,Metals Service Centers & Offices,5051,United States,50,도매업,Metals Service Centers & Offices
$SIC.5050,"Metals & Minerals, Except Petroleum",5050,United States,50,도매업,"Metals & Minerals, Except Petroleum"
$SIC.5013,Motor Vehicle Supplies & New Parts,5013,United States,50,도매업,Motor Vehicle Supplies & New Parts
$SIC.5010,"Motor Vehicles, Parts & Supplies",5010,United States,50,도매업,"Motor Vehicles, Parts & Supplies"
$SIC.5072,Hardware,5072,United States,50,도매업,Hardware
$SIC.5070,"Hardware, Plumbing & Heating Equipment",5070,United States,50,도매업,"Hardware, Plumbing & Heating Equipment"
$SIC.5160,Chemicals & Allied Products,5160,United States,51,도매업,Chemicals & Allied Products
$SIC.5040,Professional & Commercial Equipment,5040,United States,50,도매업,Professional & Commercial Equipment
$SIC.5171,Petroleum Bulk Stations &Terminals,5171,United States,51,도매업,Petroleum Bulk Stations &Terminals
$SIC.5170,Petroleum & Petroleum Products,5170,United States,51,도매업,Petroleum & Petroleum Products
$SIC.5047,Medical & Hospital Equipment,5047,United States,50,도매업,Medical & Hospital Equipment
$SIC.5065,Electronic Parts & Equipment,5065,United States,50,도매업,Electronic Parts & Equipment
$SIC.5172,"Petroleum Products, nec",5172,United States,51,도매업,"Petroleum Products, nec"
$SIC.5045,"Computers, Peripherals & Software",5045,United States,50,도매업,"Computers, Peripherals & Software"
$SIC.5180,"Beer, Wine & Distilled Beverages",5180,United States,51,도매업,"Beer, Wine & Distilled Beverages"
$SIC.5141,"Groceries, General Line",5141,United States,51,도매업,"Groceries, General Line"
$SIC.5020,Furniture & Home Furnishings,5020,United States,50,도매업,Furniture & Home Furnishings
$SIC.5110,Paper & Paper Products,5110,United States,51,도매업,Paper & Paper Products
$SIC.5122,"Drugs, Proprietaries & Sundries",5122,United States,51,도매업,"Drugs, Proprietaries & Sundries"
$SIC.5120,"Drugs, Proprietaries & Sundries",5120,United States,51,도매업,"Drugs, Proprietaries & Sundries"
