Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.8351,Child Day Care Services,8351,United States,83,서비스업,Child Day Care Services
$SIC.8350,Child Day Care Services,8350,United States,83,서비스업,Child Day Care Services
$SIC.8300,SOCIAL SERVICES,8300,United States,83,서비스업,SOCIAL SERVICES
$SIC.8111,Legal Services,8111,United States,81,서비스업,Legal Services
$SIC.8110,Legal Services,8110,United States,81,서비스업,Legal Services
$SIC.8100,LEGAL SERVICES,8100,United States,81,서비스업,LEGAL SERVICES
$SIC.7841,Video Tape Rental,7841,United States,78,서비스업,Video Tape Rental
$SIC.7840,Video Tape Rental,7840,United States,78,서비스업,Video Tape Rental
$SIC.7800,MOTION PICTURES,7800,United States,78,서비스업,MOTION PICTURES
$SIC.7822,Motion Picture & Tape Distribution,7822,United States,78,서비스업,Motion Picture & Tape Distribution
$SIC.7820,Motion Picture Distribution & Services,7820,United States,78,서비스업,Motion Picture Distribution & Services
$SIC.8742,Management Consulting Services,8742,United States,87,서비스업,Management Consulting Services
$SIC.8740,Management & Public Relations,8740,United States,87,서비스업,Management & Public Relations
$SIC.8700,ENGINEERING & MANAGEMENT SERVICES,8700,United States,87,서비스업,ENGINEERING & MANAGEMENT SERVICES
$SIC.8880,American Depositary Receipts,8880,United States,88,서비스업,American Depositary Receipts
$SIC.8741,Management Services,8741,United States,87,서비스업,Management Services
$SIC.7990,Misc. Amusement & Recreation Services,7990,United States,79,서비스업,Misc. Amusement & Recreation Services
$SIC.7900,AMUSEMENT & RECREATIONAL SERVICES,7900,United States,79,서비스업,AMUSEMENT & RECREATIONAL SERVICES
$SIC.8734,Testing Laboratories,8734,United States,87,서비스업,Testing Laboratories
$SIC.8730,Research & Testing Services,8730,United States,87,서비스업,Research & Testing Services
$SIC.7011,Hotels & Motels,7011,United States,70,서비스업,Hotels & Motels
$SIC.7010,Hotels & Motels,7010,United States,70,서비스업,Hotels & Motels
$SIC.7000,HOTELS & OTHER LODGING PLACES,7000,United States,70,서비스업,HOTELS & OTHER LODGING PLACES
$SIC.7500,"AUTO REPAIR, SERVICES & PARKING",7500,United States,75,서비스업,"AUTO REPAIR, SERVICES & PARKING"
$SIC.8744,Facilities Support Services,8744,United States,87,서비스업,Facilities Support Services
$SIC.7510,"Automotive Rentals, No Drivers",7510,United States,75,서비스업,"Automotive Rentals, No Drivers"
$SIC.7200,PERSONAL SERVICES,7200,United States,72,서비스업,PERSONAL SERVICES
$SIC.7948,"Racing, Including Track Operation",7948,United States,79,서비스업,"Racing, Including Track Operation"
$SIC.7940,Commercial Sports,7940,United States,79,서비스업,Commercial Sports
$SIC.8200,EDUCATIONAL SERVICES,8200,United States,82,서비스업,EDUCATIONAL SERVICES
$SIC.7829,Motion Picture Distribution Services,7829,United States,78,서비스업,Motion Picture Distribution Services
$SIC.7600,MISCELLANEOUS REPAIR SERVICES,7600,United States,76,서비스업,MISCELLANEOUS REPAIR SERVICES
$SIC.7997,Membership Sports & Recreation Clubs,7997,United States,79,서비스업,Membership Sports & Recreation Clubs
$SIC.7812,Motion Picture & Video Production,7812,United States,78,서비스업,Motion Picture & Video Production
$SIC.7810,Motion Picture Production & Services,7810,United States,78,서비스업,Motion Picture Production & Services
$SIC.8711,Engineering Services,8711,United States,87,서비스업,Engineering Services
$SIC.8710,Engineering & Architectural Services,8710,United States,87,서비스업,Engineering & Architectural Services
$SIC.7830,Motion Picture Theaters,7830,United States,78,서비스업,Motion Picture Theaters
$SIC.8731,Commercial Physical Research,8731,United States,87,서비스업,Commercial Physical Research
