Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.5712,Furniture Stores,5712,United States,57,소매업,Furniture Stores
$SIC.5710,Furniture & Homefurnishing Stores,5710,United States,57,소매업,Furniture & Homefurnishing Stores
$SIC.5700,FURNITURE & HOMEFURNISHING STORES,5700,United States,57,소매업,FURNITURE & HOMEFURNISHING STORES
$SIC.5944,Jewelers Stores,5944,United States,59,소매업,Jewelers Stores
$SIC.5940,Miscellaneous Shopping Goods Stores,5940,United States,59,소매업,Miscellaneous Shopping Goods Stores
$SIC.5900,MISCELLANEOUS RETAIL,5900,United States,59,소매업,MISCELLANEOUS RETAIL
$SIC.5411,Grocery Stores,5411,United States,54,소매업,Grocery Stores
$SIC.5410,Grocery Stores,5410,United States,54,소매업,Grocery Stores
$SIC.5400,FOOD STORES,5400,United States,54,소매업,FOOD STORES
$SIC.5211,Lumber & Other Building Materials,5211,United States,52,소매업,Lumber & Other Building Materials
$SIC.5210,Lumber & Other Building Materials,5210,United States,52,소매업,Lumber & Other Building Materials
$SIC.5200,BUILDING MATERIALS & GARDEN SUPPLIES,5200,United States,52,소매업,BUILDING MATERIALS & GARDEN SUPPLIES
$SIC.5912,Drug Stores & Proprietary Stores,5912,United States,59,소매업,Drug Stores & Proprietary Stores
$SIC.5910,Drug Stores & Proprietary Stores,5910,United States,59,소매업,Drug Stores & Proprietary Stores
$SIC.5621,Women's Clothing Stores,5621,United States,56,소매업,Women's Clothing Stores
$SIC.5620,Women's Clothing Stores,5620,United States,56,소매업,Women's Clothing Stores
$SIC.5600,APPAREL & ACCESSORY STORES,5600,United States,56,소매업,APPAREL & ACCESSORY STORES
$SIC.5731,"Radio, TV & Electronic Stores",5731,United States,57,소매업,"Radio, TV & Electronic Stores"
$SIC.5730,"Radio, Television & Computer Stores",5730,United States,57,소매업,"Radio, Television & Computer Stores"
$SIC.5990,"Retail Stores, nec",5990,United States,59,소매업,"Retail Stores, nec"
$SIC.5311,Department Stores,5311,United States,53,소매업,Department Stores
$SIC.5310,Department Stores,5310,United States,53,소매업,Department Stores
$SIC.5300,GENERAL MERCHANDISE STORES,5300,United States,53,소매업,GENERAL MERCHANDISE STORES
$SIC.5331,Variety Stores,5331,United States,53,소매업,Variety Stores
$SIC.5330,Variety Stores,5330,United States,53,소매업,Variety Stores
$SIC.5734,Computer & Software Stores,5734,United States,57,소매업,Computer & Software Stores
$SIC.5661,Shoe Stores,5661,United States,56,소매업,Shoe Stores
$SIC.5660,Shoe Stores,5660,United States,56,소매업,Shoe Stores
$SIC.5500,AUTOMOTIVE DEALERS & SERVICE STATIONS,5500,United States,55,소매업,AUTOMOTIVE DEALERS & SERVICE STATIONS
$SIC.5960,Nonstore Retailers,5960,United States,59,소매업,Nonstore Retailers
$SIC.5945,"Hobby, Toy & Game Shops",5945,United States,59,소매업,"Hobby, Toy & Game Shops"
$SIC.5735,Record & Prerecorded Tape Stores,5735,United States,57,소매업,Record & Prerecorded Tape Stores
$SIC.5961,Catalog & Mail Order Houses,5961,United States,59,소매업,Catalog & Mail Order Houses
$SIC.5812,Caterers & Banquet Halls,5812,United States,58,소매업,Caterers & Banquet Halls
$SIC.5810,Eating & Drinking Places,5810,United States,58,소매업,Eating & Drinking Places
$SIC.5800,EATING & DRINKING PLACES,5800,United States,58,소매업,EATING & DRINKING PLACES
$SIC.5531,Auto & Home Supply Stores,5531,United States,55,소매업,Auto & Home Supply Stores
$SIC.5530,Auto & Home Supply Stores,5530,United States,55,소매업,Auto & Home Supply Stores
$SIC.5651,Family Clothing Stores,5651,United States,56,소매업,Family Clothing Stores
$SIC.5650,Family Clothing Stores,5650,United States,56,소매업,Family Clothing Stores
