Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.4213,"Trucking, Except Local",4213,United States,42,운송 및 공공 서비스,"Trucking, Except Local"
$SIC.4210,"Trucking & Courier Services, Except Air",4210,United States,42,운송 및 공공 서비스,"Trucking & Courier Services, Except Air"
$SIC.4200,TRUCKING & WAREHOUSING,4200,United States,42,운송 및 공공 서비스,TRUCKING & WAREHOUSING
$SIC.4731,Freight Transportation Arrangement,4731,United States,47,운송 및 공공 서비스,Freight Transportation Arrangement
$SIC.4730,Freight Transportation Arrangement,4730,United States,47,운송 및 공공 서비스,Freight Transportation Arrangement
$SIC.4700,TRANSPORTATION SERVICES,4700,United States,47,운송 및 공공 서비스,TRANSPORTATION SERVICES
$SIC.4512,"Air Transportation, Scheduled",4512,United States,45,운송 및 공공 서비스,"Air Transportation, Scheduled"
$SIC.4510,"Air Transportation, Scheduled",4510,United States,45,운송 및 공공 서비스,"Air Transportation, Scheduled"
$SIC.4500,TRANSPORT BY AIR,4500,United States,45,운송 및 공공 서비스,TRANSPORT BY AIR
$SIC.4100,LOCAL & INTERURBAN PASSENGER TRANSIT,4100,United States,41,운송 및 공공 서비스,LOCAL & INTERURBAN PASSENGER TRANSIT
$SIC.4013,Switching & Terminal Devices,4013,United States,40,운송 및 공공 서비스,Switching & Terminal Devices
$SIC.4010,Railroads,4010,United States,40,운송 및 공공 서비스,Railroads
$SIC.4000,RAILROAD TRANSPORTATION,4000,United States,40,운송 및 공공 서비스,RAILROAD TRANSPORTATION
$SIC.4513,Air Courier Services,4513,United States,45,운송 및 공공 서비스,Air Courier Services
$SIC.4581,"Airports, Flying Fields & Services",4581,United States,45,운송 및 공공 서비스,"Airports, Flying Fields & Services"
$SIC.4580,"Airports, Flying Fields & Services",4580,United States,45,운송 및 공공 서비스,"Airports, Flying Fields & Services"
$SIC.4412,Deep Sea Foreign Transport of Freight,4412,United States,44,운송 및 공공 서비스,Deep Sea Foreign Transport of Freight
$SIC.4410,Deep Sea Foreign Transport of Freight,4410,United States,44,운송 및 공공 서비스,Deep Sea Foreign Transport of Freight
$SIC.4400,WATER TRANSPORTATION,4400,United States,44,운송 및 공공 서비스,WATER TRANSPORTATION
$SIC.4610,"Pipelines, Except Natural Gas",4610,United States,46,운송 및 공공 서비스,"Pipelines, Except Natural Gas"
$SIC.4600,"PIPELINES, EXCEPT NATURAL GAS",4600,United States,46,운송 및 공공 서비스,"PIPELINES, EXCEPT NATURAL GAS"
$SIC.4011,Railroads Line-Haul Operating,4011,United States,40,운송 및 공공 서비스,Railroads Line-Haul Operating
$SIC.4522,"Air Transportation, Nonscheduled",4522,United States,45,운송 및 공공 서비스,"Air Transportation, Nonscheduled"
$SIC.4520,"Air Transportation, Nonscheduled",4520,United States,45,운송 및 공공 서비스,"Air Transportation, Nonscheduled"
