Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.4953,Refuse Systems,4953,United States,49,유틸리티,Refuse Systems
$SIC.4950,Sanitary Services,4950,United States,49,유틸리티,Sanitary Services
$SIC.4900,"ELECTRIC, GAS & SANITARY SERVICES",4900,United States,49,유틸리티,"ELECTRIC, GAS & SANITARY SERVICES"
$SIC.4911,Electric Services,4911,United States,49,유틸리티,Electric Services
$SIC.4910,Electric Services,4910,United States,49,유틸리티,Electric Services
$SIC.4922,Natural Gas Transmission,4922,United States,49,유틸리티,Natural Gas Transmission
$SIC.4920,Gas Production & Distribution,4920,United States,49,유틸리티,Gas Production & Distribution
$SIC.4991,Hazardous Waste Management,4991,United States,49,유틸리티,Hazardous Waste Management
$SIC.4990,Hazardous Waste Management,4990,United States,49,유틸리티,Hazardous Waste Management
$SIC.4931,Electric & Other Services Combined,4931,United States,49,유틸리티,Electric & Other Services Combined
$SIC.4930,Combination Utility Services,4930,United States,49,유틸리티,Combination Utility Services
$SIC.4924,Natural Gas Distribution,4924,United States,49,유틸리티,Natural Gas Distribution
$SIC.4932,Gas & Other Services Combined,4932,United States,49,유틸리티,Gas & Other Services Combined
$SIC.4941,Water Supply,4941,United States,49,유틸리티,Water Supply
$SIC.4940,Water Supply,4940,United States,49,유틸리티,Water Supply
$SIC.4955,Hazardous Waste Management,4955,United States,49,유틸리티,Hazardous Waste Management
$SIC.4923,Gas Transmission & Distribution,4923,United States,49,유틸리티,Gas Transmission & Distribution
