Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.7380,Miscellaneous Business Services,7380,United States,73,정보기술,Miscellaneous Business Services
$SIC.7300,BUSINESS SERVICES,7300,United States,73,정보기술,BUSINESS SERVICES
$SIC.7374,Data Processing & Preparation,7374,United States,73,정보기술,Data Processing & Preparation
$SIC.7370,Computer & Data Processing Services,7370,United States,73,정보기술,Computer & Data Processing Services
$SIC.7373,Computer Integrated Systems Design,7373,United States,73,정보기술,Computer Integrated Systems Design
$SIC.7389,Trade Shows & Fairs,7389,United States,73,정보기술,Trade Shows & Fairs
$SIC.7371,Computer Programming Services,7371,United States,73,정보기술,Computer Programming Services
$SIC.7381,Detective & Armored Car Services,7381,United States,73,정보기술,Detective & Armored Car Services
$SIC.7310,Advertising,7310,United States,73,정보기술,Advertising
$SIC.7363,Help Supply Services,7363,United States,73,정보기술,Help Supply Services
$SIC.7360,Personnel Supply Services,7360,United States,73,정보기술,Personnel Supply Services
$SIC.7384,Photo Finishing Laboratories,7384,United States,73,정보기술,Photo Finishing Laboratories
$SIC.7350,Misc. Equipment Rental & Leasing,7350,United States,73,정보기술,Misc. Equipment Rental & Leasing
$SIC.7330,"Mailing, Reproductive, Stenographic",7330,United States,73,정보기술,"Mailing, Reproductive, Stenographic"
$SIC.7361,Employment Agencies,7361,United States,73,정보기술,Employment Agencies
$SIC.7372,Prepackaged Software,7372,United States,73,정보기술,Prepackaged Software
$SIC.7359,"Misc. Equipment Rental & Leasing, nec",7359,United States,73,정보기술,"Misc. Equipment Rental & Leasing, nec"
$SIC.7340,Services to Buildings,7340,United States,73,정보기술,Services to Buildings
$SIC.7331,Direct Mail Advertising Services,7331,United States,73,정보기술,Direct Mail Advertising Services
$SIC.7311,Advertising Agencies,7311,United States,73,정보기술,Advertising Agencies
$SIC.7320,Credit Reporting & Collection,7320,United States,73,정보기술,Credit Reporting & Collection
