Symbol,Name,Code,Country,MajorGroup,IndustryGroup,SubCategory
$SIC.2911,Petroleum Refining,2911,United States,29,제조업,Petroleum Refining
$SIC.3272,"Concrete Products, nec",3272,United States,32,제조업,"Concrete Products, nec"
$SIC.3270,"Concrete, Gypsum & Plaster Products",3270,United States,32,제조업,"Concrete, Gypsum & Plaster Products"
$SIC.3200,"STONE, CLAY & GLASS PRODUCTS",3200,United States,32,제조업,"STONE, CLAY & GLASS PRODUCTS"
$SIC.2024,Ice Cream & Frozen Desserts,2024,United States,20,제조업,Ice Cream & Frozen Desserts
$SIC.2020,Dairy Products,2020,United States,20,제조업,Dairy Products
$SIC.2000,FOOD & KINDRED PRODUCTS,2000,United States,20,제조업,FOOD & KINDRED PRODUCTS
$SIC.3320,Iron & Steel Foundries,3320,United States,33,제조업,Iron & Steel Foundries
$SIC.3300,PRIMARY METAL INDUSTRIES,3300,United States,33,제조업,PRIMARY METAL INDUSTRIES
$SIC.3674,Semiconductors & Related Devices,3674,United States,36,제조업,Semiconductors & Related Devices
$SIC.3670,Electronic Components & Accessories,3670,United States,36,제조업,Electronic Components & Accessories
$SIC.3600,ELECTRONIC & OTHER ELECTRIC INDUSTRIES,3600,United States,36,제조업,ELECTRONIC & OTHER ELECTRIC INDUSTRIES
$SIC.3532,Mining Machinery,3532,United States,35,제조업,Mining Machinery
$SIC.3530,Construction & Related Machinery,3530,United States,35,제조업,Construction & Related Machinery
$SIC.3500,INDUSTRIAL MACHINERY & EQUIPMENT,3500,United States,35,제조업,INDUSTRIAL MACHINERY & EQUIPMENT
$SIC.3081,Unsupported Plastics Film & Sheet,3081,United States,30,제조업,Unsupported Plastics Film & Sheet
$SIC.3080,"Miscellaneous Plastics Products, nec",3080,United States,30,제조업,"Miscellaneous Plastics Products, nec"
$SIC.3000,RUBBER & MISCELLANEOUS PLASTICS PRODUCTS,3000,United States,30,제조업,RUBBER & MISCELLANEOUS PLASTICS PRODUCTS
$SIC.2836,"Biological Products, Except Diagnostic",2836,United States,28,제조업,"Biological Products, Except Diagnostic"
$SIC.2830,Drugs,2830,United States,28,제조업,Drugs
$SIC.2800,CHEMICALS & ALLIED PRODUCTS,2800,United States,28,제조업,CHEMICALS & ALLIED PRODUCTS
$SIC.2990,Miscellaneous Petroleum & Coal Products,2990,United States,29,제조업,Miscellaneous Petroleum & Coal Products
$SIC.2900,PETROLEUM & COAL PRODUCTS,2900,United States,29,제조업,PETROLEUM & COAL PRODUCTS
$SIC.2510,Household Furniture,2510,United States,25,제조업,Household Furniture
$SIC.2500,FURNITURE & FIXTURES,2500,United States,25,제조업,FURNITURE & FIXTURES
$SIC.3290,Miscellaneous Nonmetallic Mineral Products,3290,United States,32,제조업,Miscellaneous Nonmetallic Mineral Products
$SIC.2520,Office Furniture,2520,United States,25,제조업,Office Furniture
$SIC.2670,Miscellaneous Converted Paper Products,2670,United States,26,제조업,Miscellaneous Converted Paper Products
$SIC.2600,PAPER & ALLIED PRODUCTS,2600,United States,26,제조업,PAPER & ALLIED PRODUCTS
$SIC.2621,Paper Mills,2621,United States,26,제조업,Paper Mills
$SIC.2620,Paper Mills,2620,United States,26,제조업,Paper Mills
$SIC.3612,"Transformers, Except Electronic",3612,United States,36,제조업,"Transformers, Except Electronic"
$SIC.3610,Electric Distribution Equipment,3610,United States,36,제조업,Electric Distribution Equipment
$SIC.3714,Motor Vehicle Parts & Accessories,3714,United States,37,제조업,Motor Vehicle Parts & Accessories
$SIC.3710,Motor Vehicles & Equipment,3710,United States,37,제조업,Motor Vehicles & Equipment
$SIC.3700,TRANSPORTATION EQUIPMENT,3700,United States,37,제조업,TRANSPORTATION EQUIPMENT
$SIC.3851,Ophthalmic Goods,3851,United States,38,제조업,Ophthalmic Goods
$SIC.3850,Ophthalmic Goods,3850,United States,38,제조업,Ophthalmic Goods
$SIC.3800,INSTRUMENTS & RELATED PRODUCTS,3800,United States,38,제조업,INSTRUMENTS & RELATED PRODUCTS
$SIC.3140,"Footwear, Except Rubber",3140,United States,31,제조업,"Footwear, Except Rubber"
$SIC.3100,LEATHER & ALLIED PRODUCTS,3100,United States,31,제조업,LEATHER & ALLIED PRODUCTS
$SIC.2870,Agricultural Chemicals,2870,United States,28,제조업,Agricultural Chemicals
$SIC.3678,Electronic Connectors,3678,United States,36,제조업,Electronic Connectors
$SIC.3312,Blast Furnaces & Steel Mills,3312,United States,33,제조업,Blast Furnaces & Steel Mills
